,game,model,experiment,episode,metric,value
0,mmlu_pro,Bentel rockers__qwen3.5-4b__Bentel_iter,mmlu_pro_business,instance_00500,Aborted,0.0
1,mmlu_pro,Bentel rockers__qwen3.5-4b__Bentel_iter,mmlu_pro_business,instance_00500,Lose,0.0
2,mmlu_pro,Bentel rockers__qwen3.5-4b__Bentel_iter,mmlu_pro_business,instance_00500,Success,1.0
3,mmlu_pro,Bentel rockers__qwen3.5-4b__Bentel_iter,mmlu_pro_business,instance_00500,Request Count,1.0
4,mmlu_pro,Bentel rockers__qwen3.5-4b__Bentel_iter,mmlu_pro_business,instance_00500,Parsed Request Count,1.0
5,mmlu_pro,Bentel rockers__qwen3.5-4b__Bentel_iter,mmlu_pro_business,instance_00500,Violated Request Count,0.0
6,mmlu_pro,Bentel rockers__qwen3.5-4b__Bentel_iter,mmlu_pro_business,instance_00500,Request Success Ratio,1.0
7,mmlu_pro,Bentel rockers__qwen3.5-4b__Bentel_iter,mmlu_pro_business,instance_00500,Main Score,100.0
8,mmlu_pro,Bentel rockers__qwen3.5-4b__Bentel_iter,mmlu_pro_business,instance_00433,Aborted,0.0
9,mmlu_pro,Bentel rockers__qwen3.5-4b__Bentel_iter,mmlu_pro_business,instance_00433,Lose,0.0
10,mmlu_pro,Bentel rockers__qwen3.5-4b__Bentel_iter,mmlu_pro_business,instance_00433,Success,1.0
11,mmlu_pro,Bentel rockers__qwen3.5-4b__Bentel_iter,mmlu_pro_business,instance_00433,Request Count,1.0
12,mmlu_pro,Bentel rockers__qwen3.5-4b__Bentel_iter,mmlu_pro_business,instance_00433,Parsed Request Count,1.0
13,mmlu_pro,Bentel rockers__qwen3.5-4b__Bentel_iter,mmlu_pro_business,instance_00433,Violated Request Count,0.0
14,mmlu_pro,Bentel rockers__qwen3.5-4b__Bentel_iter,mmlu_pro_business,instance_00433,Request Success Ratio,1.0
15,mmlu_pro,Bentel rockers__qwen3.5-4b__Bentel_iter,mmlu_pro_business,instance_00433,Main Score,100.0
16,mmlu_pro,Bentel rockers__qwen3.5-4b__Bentel_iter,mmlu_pro_business,instance_00649,Aborted,0.0
17,mmlu_pro,Bentel rockers__qwen3.5-4b__Bentel_iter,mmlu_pro_business,instance_00649,Lose,1.0
18,mmlu_pro,Bentel rockers__qwen3.5-4b__Bentel_iter,mmlu_pro_business,instance_00649,Success,0.0
19,mmlu_pro,Bentel rockers__qwen3.5-4b__Bentel_iter,mmlu_pro_business,instance_00649,Request Count,1.0
20,mmlu_pro,Bentel rockers__qwen3.5-4b__Bentel_iter,mmlu_pro_business,instance_00649,Parsed Request Count,1.0
21,mmlu_pro,Bentel rockers__qwen3.5-4b__Bentel_iter,mmlu_pro_business,instance_00649,Violated Request Count,0.0
22,mmlu_pro,Bentel rockers__qwen3.5-4b__Bentel_iter,mmlu_pro_business,instance_00649,Request Success Ratio,1.0
23,mmlu_pro,Bentel rockers__qwen3.5-4b__Bentel_iter,mmlu_pro_business,instance_00649,Main Score,0.0
24,mmlu_pro,Bentel rockers__qwen3.5-4b__Bentel_iter,mmlu_pro_business,instance_00052,Aborted,0.0
25,mmlu_pro,Bentel rockers__qwen3.5-4b__Bentel_iter,mmlu_pro_business,instance_00052,Lose,1.0
26,mmlu_pro,Bentel rockers__qwen3.5-4b__Bentel_iter,mmlu_pro_business,instance_00052,Success,0.0
27,mmlu_pro,Bentel rockers__qwen3.5-4b__Bentel_iter,mmlu_pro_business,instance_00052,Request Count,1.0
28,mmlu_pro,Bentel rockers__qwen3.5-4b__Bentel_iter,mmlu_pro_business,instance_00052,Parsed Request Count,1.0
29,mmlu_pro,Bentel rockers__qwen3.5-4b__Bentel_iter,mmlu_pro_business,instance_00052,Violated Request Count,0.0
30,mmlu_pro,Bentel rockers__qwen3.5-4b__Bentel_iter,mmlu_pro_business,instance_00052,Request Success Ratio,1.0
31,mmlu_pro,Bentel rockers__qwen3.5-4b__Bentel_iter,mmlu_pro_business,instance_00052,Main Score,0.0
32,mmlu_pro,Bentel rockers__qwen3.5-4b__Bentel_iter,mmlu_pro_business,instance_00283,Aborted,0.0
33,mmlu_pro,Bentel rockers__qwen3.5-4b__Bentel_iter,mmlu_pro_business,instance_00283,Lose,0.0
34,mmlu_pro,Bentel rockers__qwen3.5-4b__Bentel_iter,mmlu_pro_business,instance_00283,Success,1.0
35,mmlu_pro,Bentel rockers__qwen3.5-4b__Bentel_iter,mmlu_pro_business,instance_00283,Request Count,1.0
36,mmlu_pro,Bentel rockers__qwen3.5-4b__Bentel_iter,mmlu_pro_business,instance_00283,Parsed Request Count,1.0
37,mmlu_pro,Bentel rockers__qwen3.5-4b__Bentel_iter,mmlu_pro_business,instance_00283,Violated Request Count,0.0
38,mmlu_pro,Bentel rockers__qwen3.5-4b__Bentel_iter,mmlu_pro_business,instance_00283,Request Success Ratio,1.0
39,mmlu_pro,Bentel rockers__qwen3.5-4b__Bentel_iter,mmlu_pro_business,instance_00283,Main Score,100.0
40,mmlu_pro,Bentel rockers__qwen3.5-4b__Bentel_iter,mmlu_pro_business,instance_00257,Aborted,0.0
41,mmlu_pro,Bentel rockers__qwen3.5-4b__Bentel_iter,mmlu_pro_business,instance_00257,Lose,1.0
42,mmlu_pro,Bentel rockers__qwen3.5-4b__Bentel_iter,mmlu_pro_business,instance_00257,Success,0.0
43,mmlu_pro,Bentel rockers__qwen3.5-4b__Bentel_iter,mmlu_pro_business,instance_00257,Request Count,1.0
44,mmlu_pro,Bentel rockers__qwen3.5-4b__Bentel_iter,mmlu_pro_business,instance_00257,Parsed Request Count,1.0
45,mmlu_pro,Bentel rockers__qwen3.5-4b__Bentel_iter,mmlu_pro_business,instance_00257,Violated Request Count,0.0
46,mmlu_pro,Bentel rockers__qwen3.5-4b__Bentel_iter,mmlu_pro_business,instance_00257,Request Success Ratio,1.0
47,mmlu_pro,Bentel rockers__qwen3.5-4b__Bentel_iter,mmlu_pro_business,instance_00257,Main Score,0.0
48,mmlu_pro,Bentel rockers__qwen3.5-4b__Bentel_iter,mmlu_pro_business,instance_00094,Aborted,0.0
49,mmlu_pro,Bentel rockers__qwen3.5-4b__Bentel_iter,mmlu_pro_business,instance_00094,Lose,1.0
50,mmlu_pro,Bentel rockers__qwen3.5-4b__Bentel_iter,mmlu_pro_business,instance_00094,Success,0.0
51,mmlu_pro,Bentel rockers__qwen3.5-4b__Bentel_iter,mmlu_pro_business,instance_00094,Request Count,1.0
52,mmlu_pro,Bentel rockers__qwen3.5-4b__Bentel_iter,mmlu_pro_business,instance_00094,Parsed Request Count,1.0
53,mmlu_pro,Bentel rockers__qwen3.5-4b__Bentel_iter,mmlu_pro_business,instance_00094,Violated Request Count,0.0
54,mmlu_pro,Bentel rockers__qwen3.5-4b__Bentel_iter,mmlu_pro_business,instance_00094,Request Success Ratio,1.0
55,mmlu_pro,Bentel rockers__qwen3.5-4b__Bentel_iter,mmlu_pro_business,instance_00094,Main Score,0.0
56,mmlu_pro,Bentel rockers__qwen3.5-4b__Bentel_iter,mmlu_pro_chemistry,instance_00631,Aborted,0.0
57,mmlu_pro,Bentel rockers__qwen3.5-4b__Bentel_iter,mmlu_pro_chemistry,instance_00631,Lose,1.0
58,mmlu_pro,Bentel rockers__qwen3.5-4b__Bentel_iter,mmlu_pro_chemistry,instance_00631,Success,0.0
59,mmlu_pro,Bentel rockers__qwen3.5-4b__Bentel_iter,mmlu_pro_chemistry,instance_00631,Request Count,1.0
60,mmlu_pro,Bentel rockers__qwen3.5-4b__Bentel_iter,mmlu_pro_chemistry,instance_00631,Parsed Request Count,1.0
61,mmlu_pro,Bentel rockers__qwen3.5-4b__Bentel_iter,mmlu_pro_chemistry,instance_00631,Violated Request Count,0.0
62,mmlu_pro,Bentel rockers__qwen3.5-4b__Bentel_iter,mmlu_pro_chemistry,instance_00631,Request Success Ratio,1.0
63,mmlu_pro,Bentel rockers__qwen3.5-4b__Bentel_iter,mmlu_pro_chemistry,instance_00631,Main Score,0.0
64,mmlu_pro,Bentel rockers__qwen3.5-4b__Bentel_iter,mmlu_pro_chemistry,instance_01131,Aborted,0.0
65,mmlu_pro,Bentel rockers__qwen3.5-4b__Bentel_iter,mmlu_pro_chemistry,instance_01131,Lose,1.0
66,mmlu_pro,Bentel rockers__qwen3.5-4b__Bentel_iter,mmlu_pro_chemistry,instance_01131,Success,0.0
67,mmlu_pro,Bentel rockers__qwen3.5-4b__Bentel_iter,mmlu_pro_chemistry,instance_01131,Request Count,1.0
68,mmlu_pro,Bentel rockers__qwen3.5-4b__Bentel_iter,mmlu_pro_chemistry,instance_01131,Parsed Request Count,1.0
69,mmlu_pro,Bentel rockers__qwen3.5-4b__Bentel_iter,mmlu_pro_chemistry,instance_01131,Violated Request Count,0.0
70,mmlu_pro,Bentel rockers__qwen3.5-4b__Bentel_iter,mmlu_pro_chemistry,instance_01131,Request Success Ratio,1.0
71,mmlu_pro,Bentel rockers__qwen3.5-4b__Bentel_iter,mmlu_pro_chemistry,instance_01131,Main Score,0.0
72,mmlu_pro,Bentel rockers__qwen3.5-4b__Bentel_iter,mmlu_pro_chemistry,instance_00880,Aborted,0.0
73,mmlu_pro,Bentel rockers__qwen3.5-4b__Bentel_iter,mmlu_pro_chemistry,instance_00880,Lose,1.0
74,mmlu_pro,Bentel rockers__qwen3.5-4b__Bentel_iter,mmlu_pro_chemistry,instance_00880,Success,0.0
75,mmlu_pro,Bentel rockers__qwen3.5-4b__Bentel_iter,mmlu_pro_chemistry,instance_00880,Request Count,1.0
76,mmlu_pro,Bentel rockers__qwen3.5-4b__Bentel_iter,mmlu_pro_chemistry,instance_00880,Parsed Request Count,1.0
77,mmlu_pro,Bentel rockers__qwen3.5-4b__Bentel_iter,mmlu_pro_chemistry,instance_00880,Violated Request Count,0.0
78,mmlu_pro,Bentel rockers__qwen3.5-4b__Bentel_iter,mmlu_pro_chemistry,instance_00880,Request Success Ratio,1.0
79,mmlu_pro,Bentel rockers__qwen3.5-4b__Bentel_iter,mmlu_pro_chemistry,instance_00880,Main Score,0.0
80,mmlu_pro,Bentel rockers__qwen3.5-4b__Bentel_iter,mmlu_pro_chemistry,instance_00081,Aborted,0.0
81,mmlu_pro,Bentel rockers__qwen3.5-4b__Bentel_iter,mmlu_pro_chemistry,instance_00081,Lose,1.0
82,mmlu_pro,Bentel rockers__qwen3.5-4b__Bentel_iter,mmlu_pro_chemistry,instance_00081,Success,0.0
83,mmlu_pro,Bentel rockers__qwen3.5-4b__Bentel_iter,mmlu_pro_chemistry,instance_00081,Request Count,1.0
84,mmlu_pro,Bentel rockers__qwen3.5-4b__Bentel_iter,mmlu_pro_chemistry,instance_00081,Parsed Request Count,1.0
85,mmlu_pro,Bentel rockers__qwen3.5-4b__Bentel_iter,mmlu_pro_chemistry,instance_00081,Violated Request Count,0.0
86,mmlu_pro,Bentel rockers__qwen3.5-4b__Bentel_iter,mmlu_pro_chemistry,instance_00081,Request Success Ratio,1.0
87,mmlu_pro,Bentel rockers__qwen3.5-4b__Bentel_iter,mmlu_pro_chemistry,instance_00081,Main Score,0.0
88,mmlu_pro,Bentel rockers__qwen3.5-4b__Bentel_iter,mmlu_pro_chemistry,instance_00261,Aborted,0.0
89,mmlu_pro,Bentel rockers__qwen3.5-4b__Bentel_iter,mmlu_pro_chemistry,instance_00261,Lose,1.0
90,mmlu_pro,Bentel rockers__qwen3.5-4b__Bentel_iter,mmlu_pro_chemistry,instance_00261,Success,0.0
91,mmlu_pro,Bentel rockers__qwen3.5-4b__Bentel_iter,mmlu_pro_chemistry,instance_00261,Request Count,1.0
92,mmlu_pro,Bentel rockers__qwen3.5-4b__Bentel_iter,mmlu_pro_chemistry,instance_00261,Parsed Request Count,1.0
