,game,model,experiment,episode,metric,value
0,mmlu_pro,playornotplay__qwen3.5-2b__playornotplay-v1.0-merged-fp32-828e356,mmlu_pro_engineering,instance_00863,Aborted,0.0
1,mmlu_pro,playornotplay__qwen3.5-2b__playornotplay-v1.0-merged-fp32-828e356,mmlu_pro_engineering,instance_00863,Lose,1.0
2,mmlu_pro,playornotplay__qwen3.5-2b__playornotplay-v1.0-merged-fp32-828e356,mmlu_pro_engineering,instance_00863,Success,0.0
3,mmlu_pro,playornotplay__qwen3.5-2b__playornotplay-v1.0-merged-fp32-828e356,mmlu_pro_engineering,instance_00863,Request Count,1.0
4,mmlu_pro,playornotplay__qwen3.5-2b__playornotplay-v1.0-merged-fp32-828e356,mmlu_pro_engineering,instance_00863,Parsed Request Count,1.0
5,mmlu_pro,playornotplay__qwen3.5-2b__playornotplay-v1.0-merged-fp32-828e356,mmlu_pro_engineering,instance_00863,Violated Request Count,0.0
6,mmlu_pro,playornotplay__qwen3.5-2b__playornotplay-v1.0-merged-fp32-828e356,mmlu_pro_engineering,instance_00863,Request Success Ratio,1.0
7,mmlu_pro,playornotplay__qwen3.5-2b__playornotplay-v1.0-merged-fp32-828e356,mmlu_pro_engineering,instance_00863,Main Score,0.0
8,bbh,playornotplay__qwen3.5-2b__playornotplay-v1.0-merged-fp32-828e356,logical_deduction_five_objects,instance_00024,Aborted,0.0
9,bbh,playornotplay__qwen3.5-2b__playornotplay-v1.0-merged-fp32-828e356,logical_deduction_five_objects,instance_00024,Lose,1.0
10,bbh,playornotplay__qwen3.5-2b__playornotplay-v1.0-merged-fp32-828e356,logical_deduction_five_objects,instance_00024,Success,0.0
11,bbh,playornotplay__qwen3.5-2b__playornotplay-v1.0-merged-fp32-828e356,logical_deduction_five_objects,instance_00024,Request Count,1.0
12,bbh,playornotplay__qwen3.5-2b__playornotplay-v1.0-merged-fp32-828e356,logical_deduction_five_objects,instance_00024,Parsed Request Count,1.0
13,bbh,playornotplay__qwen3.5-2b__playornotplay-v1.0-merged-fp32-828e356,logical_deduction_five_objects,instance_00024,Violated Request Count,0.0
14,bbh,playornotplay__qwen3.5-2b__playornotplay-v1.0-merged-fp32-828e356,logical_deduction_five_objects,instance_00024,Request Success Ratio,1.0
15,bbh,playornotplay__qwen3.5-2b__playornotplay-v1.0-merged-fp32-828e356,logical_deduction_five_objects,instance_00024,Main Score,0.0
16,ifeval,playornotplay__qwen3.5-2b__playornotplay-v1.0-merged-fp32-828e356,ifeval,instance_00144,Aborted,0.0
17,ifeval,playornotplay__qwen3.5-2b__playornotplay-v1.0-merged-fp32-828e356,ifeval,instance_00144,Lose,1.0
18,ifeval,playornotplay__qwen3.5-2b__playornotplay-v1.0-merged-fp32-828e356,ifeval,instance_00144,Success,0.0
19,ifeval,playornotplay__qwen3.5-2b__playornotplay-v1.0-merged-fp32-828e356,ifeval,instance_00144,Request Count,1.0
20,ifeval,playornotplay__qwen3.5-2b__playornotplay-v1.0-merged-fp32-828e356,ifeval,instance_00144,Parsed Request Count,1.0
21,ifeval,playornotplay__qwen3.5-2b__playornotplay-v1.0-merged-fp32-828e356,ifeval,instance_00144,Violated Request Count,0.0
22,ifeval,playornotplay__qwen3.5-2b__playornotplay-v1.0-merged-fp32-828e356,ifeval,instance_00144,Request Success Ratio,1.0
