,game,model,experiment,episode,metric,value
0,dond,LLP: Large Language Problems__qwen3.5-9b__llp-final,coop_en,instance_00019,Request Count,2.0
1,dond,LLP: Large Language Problems__qwen3.5-9b__llp-final,coop_en,instance_00019,Parsed Request Count,2.0
2,dond,LLP: Large Language Problems__qwen3.5-9b__llp-final,coop_en,instance_00019,Violated Request Count,0.0
3,dond,LLP: Large Language Problems__qwen3.5-9b__llp-final,coop_en,instance_00019,Request Success Ratio,1.0
4,dond,LLP: Large Language Problems__qwen3.5-9b__llp-final,coop_en,instance_00019,Aborted,0.0
5,dond,LLP: Large Language Problems__qwen3.5-9b__llp-final,coop_en,instance_00019,Lose,1.0
6,dond,LLP: Large Language Problems__qwen3.5-9b__llp-final,coop_en,instance_00019,Success,0.0
7,dond,LLP: Large Language Problems__qwen3.5-9b__llp-final,coop_en,instance_00019,Main Score,0.0
8,dond,LLP: Large Language Problems__qwen3.5-9b__llp-final,coop_en,instance_00019,Sum of Points,0.0
9,dond,LLP: Large Language Problems__qwen3.5-9b__llp-final,coop_en,instance_00019,Pareto Optimal,0.0
10,dond,LLP: Large Language Problems__qwen3.5-9b__llp-final,coop_en,instance_00006,Request Count,2.0
11,dond,LLP: Large Language Problems__qwen3.5-9b__llp-final,coop_en,instance_00006,Parsed Request Count,2.0
12,dond,LLP: Large Language Problems__qwen3.5-9b__llp-final,coop_en,instance_00006,Violated Request Count,0.0
13,dond,LLP: Large Language Problems__qwen3.5-9b__llp-final,coop_en,instance_00006,Request Success Ratio,1.0
14,dond,LLP: Large Language Problems__qwen3.5-9b__llp-final,coop_en,instance_00006,Aborted,0.0
15,dond,LLP: Large Language Problems__qwen3.5-9b__llp-final,coop_en,instance_00006,Lose,1.0
16,dond,LLP: Large Language Problems__qwen3.5-9b__llp-final,coop_en,instance_00006,Success,0.0
17,dond,LLP: Large Language Problems__qwen3.5-9b__llp-final,coop_en,instance_00006,Main Score,0.0
18,dond,LLP: Large Language Problems__qwen3.5-9b__llp-final,coop_en,instance_00006,Sum of Points,0.0
19,dond,LLP: Large Language Problems__qwen3.5-9b__llp-final,coop_en,instance_00006,Pareto Optimal,0.0
20,dond,LLP: Large Language Problems__qwen3.5-9b__llp-final,semi_en,instance_00015,Request Count,3.0
21,dond,LLP: Large Language Problems__qwen3.5-9b__llp-final,semi_en,instance_00015,Parsed Request Count,3.0
22,dond,LLP: Large Language Problems__qwen3.5-9b__llp-final,semi_en,instance_00015,Violated Request Count,0.0
23,dond,LLP: Large Language Problems__qwen3.5-9b__llp-final,semi_en,instance_00015,Request Success Ratio,1.0
24,dond,LLP: Large Language Problems__qwen3.5-9b__llp-final,semi_en,instance_00015,Aborted,0.0
25,dond,LLP: Large Language Problems__qwen3.5-9b__llp-final,semi_en,instance_00015,Lose,0.0
26,dond,LLP: Large Language Problems__qwen3.5-9b__llp-final,semi_en,instance_00015,Success,1.0
27,dond,LLP: Large Language Problems__qwen3.5-9b__llp-final,semi_en,instance_00015,Main Score,100.0
28,dond,LLP: Large Language Problems__qwen3.5-9b__llp-final,semi_en,instance_00015,Sum of Points,1.0
29,dond,LLP: Large Language Problems__qwen3.5-9b__llp-final,semi_en,instance_00015,Pareto Optimal,1.0
30,dond,LLP: Large Language Problems__qwen3.5-9b__llp-final,semi_en,instance_00001,Request Count,4.0
31,dond,LLP: Large Language Problems__qwen3.5-9b__llp-final,semi_en,instance_00001,Parsed Request Count,4.0
32,dond,LLP: Large Language Problems__qwen3.5-9b__llp-final,semi_en,instance_00001,Violated Request Count,0.0
33,dond,LLP: Large Language Problems__qwen3.5-9b__llp-final,semi_en,instance_00001,Request Success Ratio,1.0
34,dond,LLP: Large Language Problems__qwen3.5-9b__llp-final,semi_en,instance_00001,Aborted,0.0
35,dond,LLP: Large Language Problems__qwen3.5-9b__llp-final,semi_en,instance_00001,Lose,0.0
36,dond,LLP: Large Language Problems__qwen3.5-9b__llp-final,semi_en,instance_00001,Success,1.0
37,dond,LLP: Large Language Problems__qwen3.5-9b__llp-final,semi_en,instance_00001,Main Score,70.0
38,dond,LLP: Large Language Problems__qwen3.5-9b__llp-final,semi_en,instance_00001,Sum of Points,0.6875
39,dond,LLP: Large Language Problems__qwen3.5-9b__llp-final,semi_en,instance_00001,Pareto Optimal,0.0
40,wordle,LLP: Large Language Problems__qwen3.5-9b__llp-final,medium_frequency_words_no_clue_no_critic,instance_00014,Aborted,0.0
41,wordle,LLP: Large Language Problems__qwen3.5-9b__llp-final,medium_frequency_words_no_clue_no_critic,instance_00014,Lose,0.0
42,wordle,LLP: Large Language Problems__qwen3.5-9b__llp-final,medium_frequency_words_no_clue_no_critic,instance_00014,Success,1.0
43,wordle,LLP: Large Language Problems__qwen3.5-9b__llp-final,medium_frequency_words_no_clue_no_critic,instance_00014,Request Count,4.0
44,wordle,LLP: Large Language Problems__qwen3.5-9b__llp-final,medium_frequency_words_no_clue_no_critic,instance_00014,Parsed Request Count,4.0
45,wordle,LLP: Large Language Problems__qwen3.5-9b__llp-final,medium_frequency_words_no_clue_no_critic,instance_00014,Violated Request Count,0.0
46,wordle,LLP: Large Language Problems__qwen3.5-9b__llp-final,medium_frequency_words_no_clue_no_critic,instance_00014,Request Success Ratio,1.0
47,wordle,LLP: Large Language Problems__qwen3.5-9b__llp-final,medium_frequency_words_no_clue_no_critic,instance_00014,Main Score,50.0
48,wordle,LLP: Large Language Problems__qwen3.5-9b__llp-final,medium_frequency_words_no_clue_no_critic,instance_00014,Guess Repetitions,0.0
49,wordle,LLP: Large Language Problems__qwen3.5-9b__llp-final,medium_frequency_words_no_clue_no_critic,instance_00007,Aborted,1.0
50,wordle,LLP: Large Language Problems__qwen3.5-9b__llp-final,medium_frequency_words_no_clue_no_critic,instance_00007,Lose,0.0
51,wordle,LLP: Large Language Problems__qwen3.5-9b__llp-final,medium_frequency_words_no_clue_no_critic,instance_00007,Success,0.0
52,wordle,LLP: Large Language Problems__qwen3.5-9b__llp-final,medium_frequency_words_no_clue_no_critic,instance_00007,Request Count,10.0
53,wordle,LLP: Large Language Problems__qwen3.5-9b__llp-final,medium_frequency_words_no_clue_no_critic,instance_00007,Parsed Request Count,10.0
54,wordle,LLP: Large Language Problems__qwen3.5-9b__llp-final,medium_frequency_words_no_clue_no_critic,instance_00007,Violated Request Count,0.0
55,wordle,LLP: Large Language Problems__qwen3.5-9b__llp-final,medium_frequency_words_no_clue_no_critic,instance_00007,Request Success Ratio,1.0
56,wordle,LLP: Large Language Problems__qwen3.5-9b__llp-final,medium_frequency_words_no_clue_no_critic,instance_00007,Main Score,
57,wordle,LLP: Large Language Problems__qwen3.5-9b__llp-final,medium_frequency_words_no_clue_no_critic,instance_00007,Guess Repetitions,
58,wordle,LLP: Large Language Problems__qwen3.5-9b__llp-final,high_frequency_words_no_clue_no_critic,instance_00007,Aborted,1.0
59,wordle,LLP: Large Language Problems__qwen3.5-9b__llp-final,high_frequency_words_no_clue_no_critic,instance_00007,Lose,0.0
60,wordle,LLP: Large Language Problems__qwen3.5-9b__llp-final,high_frequency_words_no_clue_no_critic,instance_00007,Success,0.0
61,wordle,LLP: Large Language Problems__qwen3.5-9b__llp-final,high_frequency_words_no_clue_no_critic,instance_00007,Request Count,2.0
62,wordle,LLP: Large Language Problems__qwen3.5-9b__llp-final,high_frequency_words_no_clue_no_critic,instance_00007,Parsed Request Count,1.0
63,wordle,LLP: Large Language Problems__qwen3.5-9b__llp-final,high_frequency_words_no_clue_no_critic,instance_00007,Violated Request Count,1.0
64,wordle,LLP: Large Language Problems__qwen3.5-9b__llp-final,high_frequency_words_no_clue_no_critic,instance_00007,Request Success Ratio,0.5
65,wordle,LLP: Large Language Problems__qwen3.5-9b__llp-final,high_frequency_words_no_clue_no_critic,instance_00007,Main Score,
66,wordle,LLP: Large Language Problems__qwen3.5-9b__llp-final,high_frequency_words_no_clue_no_critic,instance_00007,Guess Repetitions,
67,guesswhat,LLP: Large Language Problems__qwen3.5-9b__llp-final,Abs_Level_3,instance_00008,Violated Request Count,0.0
68,guesswhat,LLP: Large Language Problems__qwen3.5-9b__llp-final,Abs_Level_3,instance_00008,Parsed Request Count,3.0
69,guesswhat,LLP: Large Language Problems__qwen3.5-9b__llp-final,Abs_Level_3,instance_00008,Request Count,3.0
70,guesswhat,LLP: Large Language Problems__qwen3.5-9b__llp-final,Abs_Level_3,instance_00008,Request Success Ratio,1.0
71,guesswhat,LLP: Large Language Problems__qwen3.5-9b__llp-final,Abs_Level_3,instance_00008,Aborted,0.0
72,guesswhat,LLP: Large Language Problems__qwen3.5-9b__llp-final,Abs_Level_3,instance_00008,Success,0.0
73,guesswhat,LLP: Large Language Problems__qwen3.5-9b__llp-final,Abs_Level_3,instance_00008,Lose,1.0
74,guesswhat,LLP: Large Language Problems__qwen3.5-9b__llp-final,Abs_Level_3,instance_00008,Main Score,0.0
75,guesswhat,LLP: Large Language Problems__qwen3.5-9b__llp-final,Abs_Level_3,instance_00008,Invalid format guesser response,0.0
76,guesswhat,LLP: Large Language Problems__qwen3.5-9b__llp-final,Abs_Level_3,instance_00008,Invalid format answerer response,0.0
77,guesswhat,LLP: Large Language Problems__qwen3.5-9b__llp-final,Abs_Level_3,instance_00008,Invalid content guesser response,0.0
78,guesswhat,LLP: Large Language Problems__qwen3.5-9b__llp-final,Abs_Level_3,instance_00008,Invalid content answerer response,0.0
79,guesswhat,LLP: Large Language Problems__qwen3.5-9b__llp-final,Abs_Level_2,instance_00007,Violated Request Count,0.0
80,guesswhat,LLP: Large Language Problems__qwen3.5-9b__llp-final,Abs_Level_2,instance_00007,Parsed Request Count,2.0
81,guesswhat,LLP: Large Language Problems__qwen3.5-9b__llp-final,Abs_Level_2,instance_00007,Request Count,2.0
82,guesswhat,LLP: Large Language Problems__qwen3.5-9b__llp-final,Abs_Level_2,instance_00007,Request Success Ratio,1.0
83,guesswhat,LLP: Large Language Problems__qwen3.5-9b__llp-final,Abs_Level_2,instance_00007,Aborted,0.0
84,guesswhat,LLP: Large Language Problems__qwen3.5-9b__llp-final,Abs_Level_2,instance_00007,Success,0.0
85,guesswhat,LLP: Large Language Problems__qwen3.5-9b__llp-final,Abs_Level_2,instance_00007,Lose,1.0
86,guesswhat,LLP: Large Language Problems__qwen3.5-9b__llp-final,Abs_Level_2,instance_00007,Main Score,0.0
87,guesswhat,LLP: Large Language Problems__qwen3.5-9b__llp-final,Abs_Level_2,instance_00007,Invalid format guesser response,0.0
88,guesswhat,LLP: Large Language Problems__qwen3.5-9b__llp-final,Abs_Level_2,instance_00007,Invalid format answerer response,0.0
89,guesswhat,LLP: Large Language Problems__qwen3.5-9b__llp-final,Abs_Level_2,instance_00007,Invalid content guesser response,0.0
90,guesswhat,LLP: Large Language Problems__qwen3.5-9b__llp-final,Abs_Level_2,instance_00007,Invalid content answerer response,0.0
91,guesswhat,LLP: Large Language Problems__qwen3.5-9b__llp-final,Abs_Level_1,instance_00002,Violated Request Count,0.0
92,guesswhat,LLP: Large Language Problems__qwen3.5-9b__llp-final,Abs_Level_1,instance_00002,Parsed Request Count,2.0
93,guesswhat,LLP: Large Language Problems__qwen3.5-9b__llp-final,Abs_Level_1,instance_00002,Request Count,2.0
94,guesswhat,LLP: Large Language Problems__qwen3.5-9b__llp-final,Abs_Level_1,instance_00002,Request Success Ratio,1.0
95,guesswhat,LLP: Large Language Problems__qwen3.5-9b__llp-final,Abs_Level_1,instance_00002,Aborted,0.0
96,guesswhat,LLP: Large Language Problems__qwen3.5-9b__llp-final,Abs_Level_1,instance_00002,Success,0.0
97,guesswhat,LLP: Large Language Problems__qwen3.5-9b__llp-final,Abs_Level_1,instance_00002,Lose,1.0
98,guesswhat,LLP: Large Language Problems__qwen3.5-9b__llp-final,Abs_Level_1,instance_00002,Main Score,0.0
99,guesswhat,LLP: Large Language Problems__qwen3.5-9b__llp-final,Abs_Level_1,instance_00002,Invalid format guesser response,0.0
100,guesswhat,LLP: Large Language Problems__qwen3.5-9b__llp-final,Abs_Level_1,instance_00002,Invalid format answerer response,0.0
101,guesswhat,LLP: Large Language Problems__qwen3.5-9b__llp-final,Abs_Level_1,instance_00002,Invalid content guesser response,0.0
102,guesswhat,LLP: Large Language Problems__qwen3.5-9b__llp-final,Abs_Level_1,instance_00002,Invalid content answerer response,0.0
103,guesswhat,LLP: Large Language Problems__qwen3.5-9b__llp-final,Level_1,instance_00002,Violated Request Count,0.0
104,guesswhat,LLP: Large Language Problems__qwen3.5-9b__llp-final,Level_1,instance_00002,Parsed Request Count,2.0
105,guesswhat,LLP: Large Language Problems__qwen3.5-9b__llp-final,Level_1,instance_00002,Request Count,2.0
106,guesswhat,LLP: Large Language Problems__qwen3.5-9b__llp-final,Level_1,instance_00002,Request Success Ratio,1.0
107,guesswhat,LLP: Large Language Problems__qwen3.5-9b__llp-final,Level_1,instance_00002,Aborted,0.0
108,guesswhat,LLP: Large Language Problems__qwen3.5-9b__llp-final,Level_1,instance_00002,Success,0.0
109,guesswhat,LLP: Large Language Problems__qwen3.5-9b__llp-final,Level_1,instance_00002,Lose,1.0
110,guesswhat,LLP: Large Language Problems__qwen3.5-9b__llp-final,Level_1,instance_00002,Main Score,0.0
111,guesswhat,LLP: Large Language Problems__qwen3.5-9b__llp-final,Level_1,instance_00002,Invalid format guesser response,0.0
112,guesswhat,LLP: Large Language Problems__qwen3.5-9b__llp-final,Level_1,instance_00002,Invalid format answerer response,0.0
113,guesswhat,LLP: Large Language Problems__qwen3.5-9b__llp-final,Level_1,instance_00002,Invalid content guesser response,0.0
114,guesswhat,LLP: Large Language Problems__qwen3.5-9b__llp-final,Level_1,instance_00002,Invalid content answerer response,0.0
115,guesswhat,LLP: Large Language Problems__qwen3.5-9b__llp-final,Level_2,instance_00009,Violated Request Count,0.0
116,guesswhat,LLP: Large Language Problems__qwen3.5-9b__llp-final,Level_2,instance_00009,Parsed Request Count,2.0
