,game,model,experiment,episode,metric,value
0,mmlu_pro,qwen3.5-2b,mmlu_pro_engineering,instance_00863,Aborted,0.0
1,mmlu_pro,qwen3.5-2b,mmlu_pro_engineering,instance_00863,Lose,1.0
2,mmlu_pro,qwen3.5-2b,mmlu_pro_engineering,instance_00863,Success,0.0
3,mmlu_pro,qwen3.5-2b,mmlu_pro_engineering,instance_00863,Request Count,1.0
4,mmlu_pro,qwen3.5-2b,mmlu_pro_engineering,instance_00863,Parsed Request Count,1.0
5,mmlu_pro,qwen3.5-2b,mmlu_pro_engineering,instance_00863,Violated Request Count,0.0
6,mmlu_pro,qwen3.5-2b,mmlu_pro_engineering,instance_00863,Request Success Ratio,1.0
7,mmlu_pro,qwen3.5-2b,mmlu_pro_engineering,instance_00863,Main Score,0.0
8,bbh,qwen3.5-2b,logical_deduction_five_objects,instance_00024,Aborted,0.0
9,bbh,qwen3.5-2b,logical_deduction_five_objects,instance_00024,Lose,1.0
10,bbh,qwen3.5-2b,logical_deduction_five_objects,instance_00024,Success,0.0
11,bbh,qwen3.5-2b,logical_deduction_five_objects,instance_00024,Request Count,1.0
12,bbh,qwen3.5-2b,logical_deduction_five_objects,instance_00024,Parsed Request Count,1.0
13,bbh,qwen3.5-2b,logical_deduction_five_objects,instance_00024,Violated Request Count,0.0
14,bbh,qwen3.5-2b,logical_deduction_five_objects,instance_00024,Request Success Ratio,1.0
15,bbh,qwen3.5-2b,logical_deduction_five_objects,instance_00024,Main Score,0.0
16,ifeval,qwen3.5-2b,ifeval,instance_00144,Aborted,0.0
17,ifeval,qwen3.5-2b,ifeval,instance_00144,Lose,0.0
18,ifeval,qwen3.5-2b,ifeval,instance_00144,Success,1.0
19,ifeval,qwen3.5-2b,ifeval,instance_00144,Request Count,1.0
20,ifeval,qwen3.5-2b,ifeval,instance_00144,Parsed Request Count,1.0
21,ifeval,qwen3.5-2b,ifeval,instance_00144,Violated Request Count,0.0
22,ifeval,qwen3.5-2b,ifeval,instance_00144,Request Success Ratio,1.0
23,ifeval,qwen3.5-2b,ifeval,instance_00144,Main Score,100.0
24,ifeval,qwen3.5-2b,ifeval,instance_00535,Aborted,0.0
25,ifeval,qwen3.5-2b,ifeval,instance_00535,Lose,0.0
26,ifeval,qwen3.5-2b,ifeval,instance_00535,Success,1.0
27,ifeval,qwen3.5-2b,ifeval,instance_00535,Request Count,1.0
28,ifeval,qwen3.5-2b,ifeval,instance_00535,Parsed Request Count,1.0
29,ifeval,qwen3.5-2b,ifeval,instance_00535,Violated Request Count,0.0
30,ifeval,qwen3.5-2b,ifeval,instance_00535,Request Success Ratio,1.0
31,ifeval,qwen3.5-2b,ifeval,instance_00535,Main Score,100.0
