,game,model,experiment,episode,metric,value
0,dond,DAIR__qwen3.5-2b__sft-dpo-v2,coop_en,instance_00019,Request Count,5.0
1,dond,DAIR__qwen3.5-2b__sft-dpo-v2,coop_en,instance_00019,Parsed Request Count,5.0
2,dond,DAIR__qwen3.5-2b__sft-dpo-v2,coop_en,instance_00019,Violated Request Count,0.0
3,dond,DAIR__qwen3.5-2b__sft-dpo-v2,coop_en,instance_00019,Request Success Ratio,1.0
4,dond,DAIR__qwen3.5-2b__sft-dpo-v2,coop_en,instance_00019,Aborted,0.0
5,dond,DAIR__qwen3.5-2b__sft-dpo-v2,coop_en,instance_00019,Lose,1.0
6,dond,DAIR__qwen3.5-2b__sft-dpo-v2,coop_en,instance_00019,Success,0.0
7,dond,DAIR__qwen3.5-2b__sft-dpo-v2,coop_en,instance_00019,Main Score,0.0
8,dond,DAIR__qwen3.5-2b__sft-dpo-v2,coop_en,instance_00019,Sum of Points,0.0
9,dond,DAIR__qwen3.5-2b__sft-dpo-v2,coop_en,instance_00019,Pareto Optimal,0.0
10,dond,DAIR__qwen3.5-2b__sft-dpo-v2,coop_en,instance_00006,Request Count,4.0
11,dond,DAIR__qwen3.5-2b__sft-dpo-v2,coop_en,instance_00006,Parsed Request Count,4.0
12,dond,DAIR__qwen3.5-2b__sft-dpo-v2,coop_en,instance_00006,Violated Request Count,0.0
13,dond,DAIR__qwen3.5-2b__sft-dpo-v2,coop_en,instance_00006,Request Success Ratio,1.0
14,dond,DAIR__qwen3.5-2b__sft-dpo-v2,coop_en,instance_00006,Aborted,0.0
15,dond,DAIR__qwen3.5-2b__sft-dpo-v2,coop_en,instance_00006,Lose,0.0
16,dond,DAIR__qwen3.5-2b__sft-dpo-v2,coop_en,instance_00006,Success,1.0
17,dond,DAIR__qwen3.5-2b__sft-dpo-v2,coop_en,instance_00006,Main Score,100.0
18,dond,DAIR__qwen3.5-2b__sft-dpo-v2,coop_en,instance_00006,Sum of Points,1.0
19,dond,DAIR__qwen3.5-2b__sft-dpo-v2,coop_en,instance_00006,Pareto Optimal,1.0
20,dond,DAIR__qwen3.5-2b__sft-dpo-v2,semi_en,instance_00015,Request Count,4.0
21,dond,DAIR__qwen3.5-2b__sft-dpo-v2,semi_en,instance_00015,Parsed Request Count,4.0
22,dond,DAIR__qwen3.5-2b__sft-dpo-v2,semi_en,instance_00015,Violated Request Count,0.0
23,dond,DAIR__qwen3.5-2b__sft-dpo-v2,semi_en,instance_00015,Request Success Ratio,1.0
24,dond,DAIR__qwen3.5-2b__sft-dpo-v2,semi_en,instance_00015,Aborted,0.0
25,dond,DAIR__qwen3.5-2b__sft-dpo-v2,semi_en,instance_00015,Lose,0.0
26,dond,DAIR__qwen3.5-2b__sft-dpo-v2,semi_en,instance_00015,Success,1.0
27,dond,DAIR__qwen3.5-2b__sft-dpo-v2,semi_en,instance_00015,Main Score,100.0
28,dond,DAIR__qwen3.5-2b__sft-dpo-v2,semi_en,instance_00015,Sum of Points,1.0
29,dond,DAIR__qwen3.5-2b__sft-dpo-v2,semi_en,instance_00015,Pareto Optimal,1.0
30,dond,DAIR__qwen3.5-2b__sft-dpo-v2,semi_en,instance_00001,Request Count,4.0
31,dond,DAIR__qwen3.5-2b__sft-dpo-v2,semi_en,instance_00001,Parsed Request Count,4.0
32,dond,DAIR__qwen3.5-2b__sft-dpo-v2,semi_en,instance_00001,Violated Request Count,0.0
33,dond,DAIR__qwen3.5-2b__sft-dpo-v2,semi_en,instance_00001,Request Success Ratio,1.0
34,dond,DAIR__qwen3.5-2b__sft-dpo-v2,semi_en,instance_00001,Aborted,0.0
35,dond,DAIR__qwen3.5-2b__sft-dpo-v2,semi_en,instance_00001,Lose,0.0
36,dond,DAIR__qwen3.5-2b__sft-dpo-v2,semi_en,instance_00001,Success,1.0
37,dond,DAIR__qwen3.5-2b__sft-dpo-v2,semi_en,instance_00001,Main Score,40.0
38,dond,DAIR__qwen3.5-2b__sft-dpo-v2,semi_en,instance_00001,Sum of Points,0.5625
39,dond,DAIR__qwen3.5-2b__sft-dpo-v2,semi_en,instance_00001,Pareto Optimal,0.0
40,wordle,DAIR__qwen3.5-2b__sft-dpo-v2,medium_frequency_words_no_clue_no_critic,instance_00014,Aborted,0.0
41,wordle,DAIR__qwen3.5-2b__sft-dpo-v2,medium_frequency_words_no_clue_no_critic,instance_00014,Lose,1.0
42,wordle,DAIR__qwen3.5-2b__sft-dpo-v2,medium_frequency_words_no_clue_no_critic,instance_00014,Success,0.0
43,wordle,DAIR__qwen3.5-2b__sft-dpo-v2,medium_frequency_words_no_clue_no_critic,instance_00014,Request Count,7.0
44,wordle,DAIR__qwen3.5-2b__sft-dpo-v2,medium_frequency_words_no_clue_no_critic,instance_00014,Parsed Request Count,7.0
45,wordle,DAIR__qwen3.5-2b__sft-dpo-v2,medium_frequency_words_no_clue_no_critic,instance_00014,Violated Request Count,0.0
46,wordle,DAIR__qwen3.5-2b__sft-dpo-v2,medium_frequency_words_no_clue_no_critic,instance_00014,Request Success Ratio,1.0
47,wordle,DAIR__qwen3.5-2b__sft-dpo-v2,medium_frequency_words_no_clue_no_critic,instance_00014,Main Score,0.0
48,wordle,DAIR__qwen3.5-2b__sft-dpo-v2,medium_frequency_words_no_clue_no_critic,instance_00014,Guess Repetitions,0.0
49,wordle,DAIR__qwen3.5-2b__sft-dpo-v2,medium_frequency_words_no_clue_no_critic,instance_00007,Aborted,0.0
50,wordle,DAIR__qwen3.5-2b__sft-dpo-v2,medium_frequency_words_no_clue_no_critic,instance_00007,Lose,0.0
51,wordle,DAIR__qwen3.5-2b__sft-dpo-v2,medium_frequency_words_no_clue_no_critic,instance_00007,Success,1.0
52,wordle,DAIR__qwen3.5-2b__sft-dpo-v2,medium_frequency_words_no_clue_no_critic,instance_00007,Request Count,4.0
53,wordle,DAIR__qwen3.5-2b__sft-dpo-v2,medium_frequency_words_no_clue_no_critic,instance_00007,Parsed Request Count,4.0
54,wordle,DAIR__qwen3.5-2b__sft-dpo-v2,medium_frequency_words_no_clue_no_critic,instance_00007,Violated Request Count,0.0
55,wordle,DAIR__qwen3.5-2b__sft-dpo-v2,medium_frequency_words_no_clue_no_critic,instance_00007,Request Success Ratio,1.0
56,wordle,DAIR__qwen3.5-2b__sft-dpo-v2,medium_frequency_words_no_clue_no_critic,instance_00007,Main Score,50.0
57,wordle,DAIR__qwen3.5-2b__sft-dpo-v2,medium_frequency_words_no_clue_no_critic,instance_00007,Guess Repetitions,0.0
58,wordle,DAIR__qwen3.5-2b__sft-dpo-v2,high_frequency_words_no_clue_no_critic,instance_00007,Aborted,0.0
59,wordle,DAIR__qwen3.5-2b__sft-dpo-v2,high_frequency_words_no_clue_no_critic,instance_00007,Lose,1.0
60,wordle,DAIR__qwen3.5-2b__sft-dpo-v2,high_frequency_words_no_clue_no_critic,instance_00007,Success,0.0
61,wordle,DAIR__qwen3.5-2b__sft-dpo-v2,high_frequency_words_no_clue_no_critic,instance_00007,Request Count,6.0
62,wordle,DAIR__qwen3.5-2b__sft-dpo-v2,high_frequency_words_no_clue_no_critic,instance_00007,Parsed Request Count,6.0
63,wordle,DAIR__qwen3.5-2b__sft-dpo-v2,high_frequency_words_no_clue_no_critic,instance_00007,Violated Request Count,0.0
64,wordle,DAIR__qwen3.5-2b__sft-dpo-v2,high_frequency_words_no_clue_no_critic,instance_00007,Request Success Ratio,1.0
65,wordle,DAIR__qwen3.5-2b__sft-dpo-v2,high_frequency_words_no_clue_no_critic,instance_00007,Main Score,0.0
66,wordle,DAIR__qwen3.5-2b__sft-dpo-v2,high_frequency_words_no_clue_no_critic,instance_00007,Guess Repetitions,1.0
67,guesswhat,DAIR__qwen3.5-2b__sft-dpo-v2,Abs_Level_3,instance_00008,Violated Request Count,0.0
68,guesswhat,DAIR__qwen3.5-2b__sft-dpo-v2,Abs_Level_3,instance_00008,Parsed Request Count,6.0
69,guesswhat,DAIR__qwen3.5-2b__sft-dpo-v2,Abs_Level_3,instance_00008,Request Count,6.0
70,guesswhat,DAIR__qwen3.5-2b__sft-dpo-v2,Abs_Level_3,instance_00008,Request Success Ratio,1.0
71,guesswhat,DAIR__qwen3.5-2b__sft-dpo-v2,Abs_Level_3,instance_00008,Aborted,0.0
72,guesswhat,DAIR__qwen3.5-2b__sft-dpo-v2,Abs_Level_3,instance_00008,Success,0.0
73,guesswhat,DAIR__qwen3.5-2b__sft-dpo-v2,Abs_Level_3,instance_00008,Lose,1.0
74,guesswhat,DAIR__qwen3.5-2b__sft-dpo-v2,Abs_Level_3,instance_00008,Main Score,0.0
75,guesswhat,DAIR__qwen3.5-2b__sft-dpo-v2,Abs_Level_3,instance_00008,Invalid format guesser response,0.0
76,guesswhat,DAIR__qwen3.5-2b__sft-dpo-v2,Abs_Level_3,instance_00008,Invalid format answerer response,0.0
77,guesswhat,DAIR__qwen3.5-2b__sft-dpo-v2,Abs_Level_3,instance_00008,Invalid content guesser response,0.0
78,guesswhat,DAIR__qwen3.5-2b__sft-dpo-v2,Abs_Level_3,instance_00008,Invalid content answerer response,0.0
79,guesswhat,DAIR__qwen3.5-2b__sft-dpo-v2,Abs_Level_2,instance_00007,Violated Request Count,0.0
80,guesswhat,DAIR__qwen3.5-2b__sft-dpo-v2,Abs_Level_2,instance_00007,Parsed Request Count,6.0
81,guesswhat,DAIR__qwen3.5-2b__sft-dpo-v2,Abs_Level_2,instance_00007,Request Count,6.0
82,guesswhat,DAIR__qwen3.5-2b__sft-dpo-v2,Abs_Level_2,instance_00007,Request Success Ratio,1.0
83,guesswhat,DAIR__qwen3.5-2b__sft-dpo-v2,Abs_Level_2,instance_00007,Aborted,0.0
84,guesswhat,DAIR__qwen3.5-2b__sft-dpo-v2,Abs_Level_2,instance_00007,Success,1.0
85,guesswhat,DAIR__qwen3.5-2b__sft-dpo-v2,Abs_Level_2,instance_00007,Lose,0.0
86,guesswhat,DAIR__qwen3.5-2b__sft-dpo-v2,Abs_Level_2,instance_00007,Speed,66.66666666666667
87,guesswhat,DAIR__qwen3.5-2b__sft-dpo-v2,Abs_Level_2,instance_00007,Main Score,66.66666666666667
88,guesswhat,DAIR__qwen3.5-2b__sft-dpo-v2,Abs_Level_2,instance_00007,Invalid format guesser response,0.0
89,guesswhat,DAIR__qwen3.5-2b__sft-dpo-v2,Abs_Level_2,instance_00007,Invalid format answerer response,0.0
