,game,model,experiment,episode,metric,value
0,wordle,Bentel rockers__qwen3.5-4b__Bentel_iter,medium_frequency_words_no_clue_no_critic,instance_00014,Aborted,1.0
1,wordle,Bentel rockers__qwen3.5-4b__Bentel_iter,medium_frequency_words_no_clue_no_critic,instance_00014,Lose,0.0
2,wordle,Bentel rockers__qwen3.5-4b__Bentel_iter,medium_frequency_words_no_clue_no_critic,instance_00014,Success,0.0
3,wordle,Bentel rockers__qwen3.5-4b__Bentel_iter,medium_frequency_words_no_clue_no_critic,instance_00014,Request Count,4.0
4,wordle,Bentel rockers__qwen3.5-4b__Bentel_iter,medium_frequency_words_no_clue_no_critic,instance_00014,Parsed Request Count,3.0
5,wordle,Bentel rockers__qwen3.5-4b__Bentel_iter,medium_frequency_words_no_clue_no_critic,instance_00014,Violated Request Count,1.0
6,wordle,Bentel rockers__qwen3.5-4b__Bentel_iter,medium_frequency_words_no_clue_no_critic,instance_00014,Request Success Ratio,0.75
7,wordle,Bentel rockers__qwen3.5-4b__Bentel_iter,medium_frequency_words_no_clue_no_critic,instance_00014,Main Score,
8,wordle,Bentel rockers__qwen3.5-4b__Bentel_iter,medium_frequency_words_no_clue_no_critic,instance_00014,Guess Repetitions,
9,wordle,Bentel rockers__qwen3.5-4b__Bentel_iter,medium_frequency_words_no_clue_no_critic,instance_00007,Aborted,1.0
10,wordle,Bentel rockers__qwen3.5-4b__Bentel_iter,medium_frequency_words_no_clue_no_critic,instance_00007,Lose,0.0
11,wordle,Bentel rockers__qwen3.5-4b__Bentel_iter,medium_frequency_words_no_clue_no_critic,instance_00007,Success,0.0
12,wordle,Bentel rockers__qwen3.5-4b__Bentel_iter,medium_frequency_words_no_clue_no_critic,instance_00007,Request Count,5.0
13,wordle,Bentel rockers__qwen3.5-4b__Bentel_iter,medium_frequency_words_no_clue_no_critic,instance_00007,Parsed Request Count,4.0
14,wordle,Bentel rockers__qwen3.5-4b__Bentel_iter,medium_frequency_words_no_clue_no_critic,instance_00007,Violated Request Count,1.0
15,wordle,Bentel rockers__qwen3.5-4b__Bentel_iter,medium_frequency_words_no_clue_no_critic,instance_00007,Request Success Ratio,0.8
16,wordle,Bentel rockers__qwen3.5-4b__Bentel_iter,medium_frequency_words_no_clue_no_critic,instance_00007,Main Score,
17,wordle,Bentel rockers__qwen3.5-4b__Bentel_iter,medium_frequency_words_no_clue_no_critic,instance_00007,Guess Repetitions,
18,wordle,Bentel rockers__qwen3.5-4b__Bentel_iter,high_frequency_words_no_clue_no_critic,instance_00007,Aborted,1.0
