,game,model,experiment,episode,metric,value
0,dond,Bentel rockers__qwen3.5-4b__Bentel_iter_2,coop_en,instance_00019,Request Count,2.0
1,dond,Bentel rockers__qwen3.5-4b__Bentel_iter_2,coop_en,instance_00019,Parsed Request Count,2.0
2,dond,Bentel rockers__qwen3.5-4b__Bentel_iter_2,coop_en,instance_00019,Violated Request Count,0.0
3,dond,Bentel rockers__qwen3.5-4b__Bentel_iter_2,coop_en,instance_00019,Request Success Ratio,1.0
4,dond,Bentel rockers__qwen3.5-4b__Bentel_iter_2,coop_en,instance_00019,Aborted,0.0
5,dond,Bentel rockers__qwen3.5-4b__Bentel_iter_2,coop_en,instance_00019,Lose,1.0
6,dond,Bentel rockers__qwen3.5-4b__Bentel_iter_2,coop_en,instance_00019,Success,0.0
7,dond,Bentel rockers__qwen3.5-4b__Bentel_iter_2,coop_en,instance_00019,Main Score,0.0
8,dond,Bentel rockers__qwen3.5-4b__Bentel_iter_2,coop_en,instance_00019,Sum of Points,0.0
9,dond,Bentel rockers__qwen3.5-4b__Bentel_iter_2,coop_en,instance_00019,Pareto Optimal,0.0
10,dond,Bentel rockers__qwen3.5-4b__Bentel_iter_2,coop_en,instance_00006,Request Count,2.0
11,dond,Bentel rockers__qwen3.5-4b__Bentel_iter_2,coop_en,instance_00006,Parsed Request Count,1.0
12,dond,Bentel rockers__qwen3.5-4b__Bentel_iter_2,coop_en,instance_00006,Violated Request Count,1.0
13,dond,Bentel rockers__qwen3.5-4b__Bentel_iter_2,coop_en,instance_00006,Request Success Ratio,0.5
14,dond,Bentel rockers__qwen3.5-4b__Bentel_iter_2,coop_en,instance_00006,Aborted,1.0
15,dond,Bentel rockers__qwen3.5-4b__Bentel_iter_2,coop_en,instance_00006,Lose,0.0
16,dond,Bentel rockers__qwen3.5-4b__Bentel_iter_2,coop_en,instance_00006,Success,0.0
17,dond,Bentel rockers__qwen3.5-4b__Bentel_iter_2,coop_en,instance_00006,Main Score,
18,dond,Bentel rockers__qwen3.5-4b__Bentel_iter_2,semi_en,instance_00015,Request Count,2.0
19,dond,Bentel rockers__qwen3.5-4b__Bentel_iter_2,semi_en,instance_00015,Parsed Request Count,2.0
20,dond,Bentel rockers__qwen3.5-4b__Bentel_iter_2,semi_en,instance_00015,Violated Request Count,0.0
21,dond,Bentel rockers__qwen3.5-4b__Bentel_iter_2,semi_en,instance_00015,Request Success Ratio,1.0
22,dond,Bentel rockers__qwen3.5-4b__Bentel_iter_2,semi_en,instance_00015,Aborted,0.0
23,dond,Bentel rockers__qwen3.5-4b__Bentel_iter_2,semi_en,instance_00015,Lose,1.0
24,dond,Bentel rockers__qwen3.5-4b__Bentel_iter_2,semi_en,instance_00015,Success,0.0
25,dond,Bentel rockers__qwen3.5-4b__Bentel_iter_2,semi_en,instance_00015,Main Score,0.0
26,dond,Bentel rockers__qwen3.5-4b__Bentel_iter_2,semi_en,instance_00015,Sum of Points,0.0
27,dond,Bentel rockers__qwen3.5-4b__Bentel_iter_2,semi_en,instance_00015,Pareto Optimal,0.0
28,dond,Bentel rockers__qwen3.5-4b__Bentel_iter_2,semi_en,instance_00001,Request Count,2.0
29,dond,Bentel rockers__qwen3.5-4b__Bentel_iter_2,semi_en,instance_00001,Parsed Request Count,2.0
30,dond,Bentel rockers__qwen3.5-4b__Bentel_iter_2,semi_en,instance_00001,Violated Request Count,0.0
31,dond,Bentel rockers__qwen3.5-4b__Bentel_iter_2,semi_en,instance_00001,Request Success Ratio,1.0
32,dond,Bentel rockers__qwen3.5-4b__Bentel_iter_2,semi_en,instance_00001,Aborted,0.0
33,dond,Bentel rockers__qwen3.5-4b__Bentel_iter_2,semi_en,instance_00001,Lose,1.0
34,dond,Bentel rockers__qwen3.5-4b__Bentel_iter_2,semi_en,instance_00001,Success,0.0
35,dond,Bentel rockers__qwen3.5-4b__Bentel_iter_2,semi_en,instance_00001,Main Score,0.0
36,dond,Bentel rockers__qwen3.5-4b__Bentel_iter_2,semi_en,instance_00001,Sum of Points,0.0
37,dond,Bentel rockers__qwen3.5-4b__Bentel_iter_2,semi_en,instance_00001,Pareto Optimal,0.0
38,wordle,Bentel rockers__qwen3.5-4b__Bentel_iter_2,medium_frequency_words_no_clue_no_critic,instance_00014,Aborted,1.0
39,wordle,Bentel rockers__qwen3.5-4b__Bentel_iter_2,medium_frequency_words_no_clue_no_critic,instance_00014,Lose,0.0
40,wordle,Bentel rockers__qwen3.5-4b__Bentel_iter_2,medium_frequency_words_no_clue_no_critic,instance_00014,Success,0.0
41,wordle,Bentel rockers__qwen3.5-4b__Bentel_iter_2,medium_frequency_words_no_clue_no_critic,instance_00014,Request Count,2.0
42,wordle,Bentel rockers__qwen3.5-4b__Bentel_iter_2,medium_frequency_words_no_clue_no_critic,instance_00014,Parsed Request Count,1.0
43,wordle,Bentel rockers__qwen3.5-4b__Bentel_iter_2,medium_frequency_words_no_clue_no_critic,instance_00014,Violated Request Count,1.0
44,wordle,Bentel rockers__qwen3.5-4b__Bentel_iter_2,medium_frequency_words_no_clue_no_critic,instance_00014,Request Success Ratio,0.5
45,wordle,Bentel rockers__qwen3.5-4b__Bentel_iter_2,medium_frequency_words_no_clue_no_critic,instance_00014,Main Score,
46,wordle,Bentel rockers__qwen3.5-4b__Bentel_iter_2,medium_frequency_words_no_clue_no_critic,instance_00014,Guess Repetitions,
47,wordle,Bentel rockers__qwen3.5-4b__Bentel_iter_2,medium_frequency_words_no_clue_no_critic,instance_00007,Aborted,1.0
48,wordle,Bentel rockers__qwen3.5-4b__Bentel_iter_2,medium_frequency_words_no_clue_no_critic,instance_00007,Lose,0.0
49,wordle,Bentel rockers__qwen3.5-4b__Bentel_iter_2,medium_frequency_words_no_clue_no_critic,instance_00007,Success,0.0
50,wordle,Bentel rockers__qwen3.5-4b__Bentel_iter_2,medium_frequency_words_no_clue_no_critic,instance_00007,Request Count,2.0
51,wordle,Bentel rockers__qwen3.5-4b__Bentel_iter_2,medium_frequency_words_no_clue_no_critic,instance_00007,Parsed Request Count,1.0
52,wordle,Bentel rockers__qwen3.5-4b__Bentel_iter_2,medium_frequency_words_no_clue_no_critic,instance_00007,Violated Request Count,1.0
53,wordle,Bentel rockers__qwen3.5-4b__Bentel_iter_2,medium_frequency_words_no_clue_no_critic,instance_00007,Request Success Ratio,0.5
