,game,model,experiment,episode,metric,value
0,dond,llama-3.1-8b-instruct,coop_en,instance_00019,Request Count,9.0
1,dond,llama-3.1-8b-instruct,coop_en,instance_00019,Parsed Request Count,8.0
2,dond,llama-3.1-8b-instruct,coop_en,instance_00019,Violated Request Count,1.0
3,dond,llama-3.1-8b-instruct,coop_en,instance_00019,Request Success Ratio,0.8888888888888888
4,dond,llama-3.1-8b-instruct,coop_en,instance_00019,Aborted,1.0
5,dond,llama-3.1-8b-instruct,coop_en,instance_00019,Lose,0.0
6,dond,llama-3.1-8b-instruct,coop_en,instance_00019,Success,0.0
7,dond,llama-3.1-8b-instruct,coop_en,instance_00019,Main Score,
8,dond,llama-3.1-8b-instruct,coop_en,instance_00006,Request Count,8.0
9,dond,llama-3.1-8b-instruct,coop_en,instance_00006,Parsed Request Count,8.0
10,dond,llama-3.1-8b-instruct,coop_en,instance_00006,Violated Request Count,0.0
11,dond,llama-3.1-8b-instruct,coop_en,instance_00006,Request Success Ratio,1.0
12,dond,llama-3.1-8b-instruct,coop_en,instance_00006,Aborted,0.0
13,dond,llama-3.1-8b-instruct,coop_en,instance_00006,Lose,1.0
14,dond,llama-3.1-8b-instruct,coop_en,instance_00006,Success,0.0
15,dond,llama-3.1-8b-instruct,coop_en,instance_00006,Main Score,0.0
16,dond,llama-3.1-8b-instruct,coop_en,instance_00006,Sum of Points,0.0
17,dond,llama-3.1-8b-instruct,coop_en,instance_00006,Pareto Optimal,0.0
18,dond,llama-3.1-8b-instruct,semi_en,instance_00015,Request Count,12.0
19,dond,llama-3.1-8b-instruct,semi_en,instance_00015,Parsed Request Count,12.0
20,dond,llama-3.1-8b-instruct,semi_en,instance_00015,Violated Request Count,0.0
21,dond,llama-3.1-8b-instruct,semi_en,instance_00015,Request Success Ratio,1.0
22,dond,llama-3.1-8b-instruct,semi_en,instance_00015,Aborted,0.0
23,dond,llama-3.1-8b-instruct,semi_en,instance_00015,Lose,1.0
24,dond,llama-3.1-8b-instruct,semi_en,instance_00015,Success,0.0
25,dond,llama-3.1-8b-instruct,semi_en,instance_00015,Main Score,0.0
26,dond,llama-3.1-8b-instruct,semi_en,instance_00015,Sum of Points,0.0
27,dond,llama-3.1-8b-instruct,semi_en,instance_00015,Pareto Optimal,0.0
28,dond,llama-3.1-8b-instruct,semi_en,instance_00001,Request Count,8.0
29,dond,llama-3.1-8b-instruct,semi_en,instance_00001,Parsed Request Count,8.0
30,dond,llama-3.1-8b-instruct,semi_en,instance_00001,Violated Request Count,0.0
31,dond,llama-3.1-8b-instruct,semi_en,instance_00001,Request Success Ratio,1.0
32,dond,llama-3.1-8b-instruct,semi_en,instance_00001,Aborted,0.0
33,dond,llama-3.1-8b-instruct,semi_en,instance_00001,Lose,1.0
34,dond,llama-3.1-8b-instruct,semi_en,instance_00001,Success,0.0
35,dond,llama-3.1-8b-instruct,semi_en,instance_00001,Main Score,0.0
36,dond,llama-3.1-8b-instruct,semi_en,instance_00001,Sum of Points,0.0
37,dond,llama-3.1-8b-instruct,semi_en,instance_00001,Pareto Optimal,0.0
38,wordle,llama-3.1-8b-instruct,medium_frequency_words_no_clue_no_critic,instance_00014,Aborted,0.0
39,wordle,llama-3.1-8b-instruct,medium_frequency_words_no_clue_no_critic,instance_00014,Lose,1.0
40,wordle,llama-3.1-8b-instruct,medium_frequency_words_no_clue_no_critic,instance_00014,Success,0.0
41,wordle,llama-3.1-8b-instruct,medium_frequency_words_no_clue_no_critic,instance_00014,Request Count,6.0
42,wordle,llama-3.1-8b-instruct,medium_frequency_words_no_clue_no_critic,instance_00014,Parsed Request Count,6.0
43,wordle,llama-3.1-8b-instruct,medium_frequency_words_no_clue_no_critic,instance_00014,Violated Request Count,0.0
44,wordle,llama-3.1-8b-instruct,medium_frequency_words_no_clue_no_critic,instance_00014,Request Success Ratio,1.0
45,wordle,llama-3.1-8b-instruct,medium_frequency_words_no_clue_no_critic,instance_00014,Main Score,0.0
46,wordle,llama-3.1-8b-instruct,medium_frequency_words_no_clue_no_critic,instance_00014,Guess Repetitions,4.0
47,wordle,llama-3.1-8b-instruct,medium_frequency_words_no_clue_no_critic,instance_00007,Aborted,0.0
48,wordle,llama-3.1-8b-instruct,medium_frequency_words_no_clue_no_critic,instance_00007,Lose,0.0
49,wordle,llama-3.1-8b-instruct,medium_frequency_words_no_clue_no_critic,instance_00007,Success,1.0
50,wordle,llama-3.1-8b-instruct,medium_frequency_words_no_clue_no_critic,instance_00007,Request Count,2.0
51,wordle,llama-3.1-8b-instruct,medium_frequency_words_no_clue_no_critic,instance_00007,Parsed Request Count,2.0
52,wordle,llama-3.1-8b-instruct,medium_frequency_words_no_clue_no_critic,instance_00007,Violated Request Count,0.0
53,wordle,llama-3.1-8b-instruct,medium_frequency_words_no_clue_no_critic,instance_00007,Request Success Ratio,1.0
54,wordle,llama-3.1-8b-instruct,medium_frequency_words_no_clue_no_critic,instance_00007,Main Score,100.0
55,wordle,llama-3.1-8b-instruct,medium_frequency_words_no_clue_no_critic,instance_00007,Guess Repetitions,0.0
56,wordle,llama-3.1-8b-instruct,high_frequency_words_no_clue_no_critic,instance_00007,Aborted,1.0
57,wordle,llama-3.1-8b-instruct,high_frequency_words_no_clue_no_critic,instance_00007,Lose,0.0
58,wordle,llama-3.1-8b-instruct,high_frequency_words_no_clue_no_critic,instance_00007,Success,0.0
59,wordle,llama-3.1-8b-instruct,high_frequency_words_no_clue_no_critic,instance_00007,Request Count,6.0
60,wordle,llama-3.1-8b-instruct,high_frequency_words_no_clue_no_critic,instance_00007,Parsed Request Count,5.0
61,wordle,llama-3.1-8b-instruct,high_frequency_words_no_clue_no_critic,instance_00007,Violated Request Count,1.0
62,wordle,llama-3.1-8b-instruct,high_frequency_words_no_clue_no_critic,instance_00007,Request Success Ratio,0.8333333333333334
63,wordle,llama-3.1-8b-instruct,high_frequency_words_no_clue_no_critic,instance_00007,Main Score,
64,wordle,llama-3.1-8b-instruct,high_frequency_words_no_clue_no_critic,instance_00007,Guess Repetitions,
65,guesswhat,llama-3.1-8b-instruct,Abs_Level_3,instance_00008,Violated Request Count,0.0
66,guesswhat,llama-3.1-8b-instruct,Abs_Level_3,instance_00008,Parsed Request Count,7.0
67,guesswhat,llama-3.1-8b-instruct,Abs_Level_3,instance_00008,Request Count,7.0
68,guesswhat,llama-3.1-8b-instruct,Abs_Level_3,instance_00008,Request Success Ratio,1.0
69,guesswhat,llama-3.1-8b-instruct,Abs_Level_3,instance_00008,Aborted,0.0
70,guesswhat,llama-3.1-8b-instruct,Abs_Level_3,instance_00008,Success,0.0
71,guesswhat,llama-3.1-8b-instruct,Abs_Level_3,instance_00008,Lose,1.0
