,game,model,experiment,episode,metric,value
0,dond,BSU-SLIM__Qwen3.5-9B-Base__playpen-prm-9b-best_of_n,coop_en,instance_00019,Request Count,2.0
1,dond,BSU-SLIM__Qwen3.5-9B-Base__playpen-prm-9b-best_of_n,coop_en,instance_00019,Parsed Request Count,2.0
2,dond,BSU-SLIM__Qwen3.5-9B-Base__playpen-prm-9b-best_of_n,coop_en,instance_00019,Violated Request Count,0.0
3,dond,BSU-SLIM__Qwen3.5-9B-Base__playpen-prm-9b-best_of_n,coop_en,instance_00019,Request Success Ratio,1.0
4,dond,BSU-SLIM__Qwen3.5-9B-Base__playpen-prm-9b-best_of_n,coop_en,instance_00019,Aborted,0.0
5,dond,BSU-SLIM__Qwen3.5-9B-Base__playpen-prm-9b-best_of_n,coop_en,instance_00019,Lose,1.0
6,dond,BSU-SLIM__Qwen3.5-9B-Base__playpen-prm-9b-best_of_n,coop_en,instance_00019,Success,0.0
7,dond,BSU-SLIM__Qwen3.5-9B-Base__playpen-prm-9b-best_of_n,coop_en,instance_00019,Main Score,0.0
8,dond,BSU-SLIM__Qwen3.5-9B-Base__playpen-prm-9b-best_of_n,coop_en,instance_00019,Sum of Points,0.0
9,dond,BSU-SLIM__Qwen3.5-9B-Base__playpen-prm-9b-best_of_n,coop_en,instance_00019,Pareto Optimal,0.0
10,dond,BSU-SLIM__Qwen3.5-9B-Base__playpen-prm-9b-best_of_n,coop_en,instance_00006,Request Count,2.0
11,dond,BSU-SLIM__Qwen3.5-9B-Base__playpen-prm-9b-best_of_n,coop_en,instance_00006,Parsed Request Count,2.0
12,dond,BSU-SLIM__Qwen3.5-9B-Base__playpen-prm-9b-best_of_n,coop_en,instance_00006,Violated Request Count,0.0
13,dond,BSU-SLIM__Qwen3.5-9B-Base__playpen-prm-9b-best_of_n,coop_en,instance_00006,Request Success Ratio,1.0
14,dond,BSU-SLIM__Qwen3.5-9B-Base__playpen-prm-9b-best_of_n,coop_en,instance_00006,Aborted,0.0
15,dond,BSU-SLIM__Qwen3.5-9B-Base__playpen-prm-9b-best_of_n,coop_en,instance_00006,Lose,1.0
16,dond,BSU-SLIM__Qwen3.5-9B-Base__playpen-prm-9b-best_of_n,coop_en,instance_00006,Success,0.0
17,dond,BSU-SLIM__Qwen3.5-9B-Base__playpen-prm-9b-best_of_n,coop_en,instance_00006,Main Score,0.0
18,dond,BSU-SLIM__Qwen3.5-9B-Base__playpen-prm-9b-best_of_n,coop_en,instance_00006,Sum of Points,0.0
19,dond,BSU-SLIM__Qwen3.5-9B-Base__playpen-prm-9b-best_of_n,coop_en,instance_00006,Pareto Optimal,0.0
20,dond,BSU-SLIM__Qwen3.5-9B-Base__playpen-prm-9b-best_of_n,semi_en,instance_00015,Request Count,2.0
21,dond,BSU-SLIM__Qwen3.5-9B-Base__playpen-prm-9b-best_of_n,semi_en,instance_00015,Parsed Request Count,2.0
22,dond,BSU-SLIM__Qwen3.5-9B-Base__playpen-prm-9b-best_of_n,semi_en,instance_00015,Violated Request Count,0.0
23,dond,BSU-SLIM__Qwen3.5-9B-Base__playpen-prm-9b-best_of_n,semi_en,instance_00015,Request Success Ratio,1.0
24,dond,BSU-SLIM__Qwen3.5-9B-Base__playpen-prm-9b-best_of_n,semi_en,instance_00015,Aborted,0.0
