,game,model,experiment,episode,metric,value
0,dond,SLED-BSU__Qwen3.5-27B-sft-ep1__prm-ep1-best_of_n,coop_en,instance_00019,Request Count,3.0
1,dond,SLED-BSU__Qwen3.5-27B-sft-ep1__prm-ep1-best_of_n,coop_en,instance_00019,Parsed Request Count,3.0
2,dond,SLED-BSU__Qwen3.5-27B-sft-ep1__prm-ep1-best_of_n,coop_en,instance_00019,Violated Request Count,0.0
3,dond,SLED-BSU__Qwen3.5-27B-sft-ep1__prm-ep1-best_of_n,coop_en,instance_00019,Request Success Ratio,1.0
4,dond,SLED-BSU__Qwen3.5-27B-sft-ep1__prm-ep1-best_of_n,coop_en,instance_00019,Aborted,0.0
5,dond,SLED-BSU__Qwen3.5-27B-sft-ep1__prm-ep1-best_of_n,coop_en,instance_00019,Lose,0.0
6,dond,SLED-BSU__Qwen3.5-27B-sft-ep1__prm-ep1-best_of_n,coop_en,instance_00019,Success,1.0
7,dond,SLED-BSU__Qwen3.5-27B-sft-ep1__prm-ep1-best_of_n,coop_en,instance_00019,Main Score,76.92307692307692
8,dond,SLED-BSU__Qwen3.5-27B-sft-ep1__prm-ep1-best_of_n,coop_en,instance_00019,Sum of Points,0.7692307692307693
9,dond,SLED-BSU__Qwen3.5-27B-sft-ep1__prm-ep1-best_of_n,coop_en,instance_00019,Pareto Optimal,0.0
10,dond,SLED-BSU__Qwen3.5-27B-sft-ep1__prm-ep1-best_of_n,coop_en,instance_00006,Request Count,3.0
11,dond,SLED-BSU__Qwen3.5-27B-sft-ep1__prm-ep1-best_of_n,coop_en,instance_00006,Parsed Request Count,3.0
12,dond,SLED-BSU__Qwen3.5-27B-sft-ep1__prm-ep1-best_of_n,coop_en,instance_00006,Violated Request Count,0.0
13,dond,SLED-BSU__Qwen3.5-27B-sft-ep1__prm-ep1-best_of_n,coop_en,instance_00006,Request Success Ratio,1.0
14,dond,SLED-BSU__Qwen3.5-27B-sft-ep1__prm-ep1-best_of_n,coop_en,instance_00006,Aborted,0.0
15,dond,SLED-BSU__Qwen3.5-27B-sft-ep1__prm-ep1-best_of_n,coop_en,instance_00006,Lose,0.0
16,dond,SLED-BSU__Qwen3.5-27B-sft-ep1__prm-ep1-best_of_n,coop_en,instance_00006,Success,1.0
17,dond,SLED-BSU__Qwen3.5-27B-sft-ep1__prm-ep1-best_of_n,coop_en,instance_00006,Main Score,100.0
18,dond,SLED-BSU__Qwen3.5-27B-sft-ep1__prm-ep1-best_of_n,coop_en,instance_00006,Sum of Points,1.0
19,dond,SLED-BSU__Qwen3.5-27B-sft-ep1__prm-ep1-best_of_n,coop_en,instance_00006,Pareto Optimal,1.0
20,dond,SLED-BSU__Qwen3.5-27B-sft-ep1__prm-ep1-best_of_n,semi_en,instance_00015,Request Count,4.0
21,dond,SLED-BSU__Qwen3.5-27B-sft-ep1__prm-ep1-best_of_n,semi_en,instance_00015,Parsed Request Count,4.0
22,dond,SLED-BSU__Qwen3.5-27B-sft-ep1__prm-ep1-best_of_n,semi_en,instance_00015,Violated Request Count,0.0
23,dond,SLED-BSU__Qwen3.5-27B-sft-ep1__prm-ep1-best_of_n,semi_en,instance_00015,Request Success Ratio,1.0
24,dond,SLED-BSU__Qwen3.5-27B-sft-ep1__prm-ep1-best_of_n,semi_en,instance_00015,Aborted,0.0
25,dond,SLED-BSU__Qwen3.5-27B-sft-ep1__prm-ep1-best_of_n,semi_en,instance_00015,Lose,0.0
26,dond,SLED-BSU__Qwen3.5-27B-sft-ep1__prm-ep1-best_of_n,semi_en,instance_00015,Success,1.0
27,dond,SLED-BSU__Qwen3.5-27B-sft-ep1__prm-ep1-best_of_n,semi_en,instance_00015,Main Score,100.0
28,dond,SLED-BSU__Qwen3.5-27B-sft-ep1__prm-ep1-best_of_n,semi_en,instance_00015,Sum of Points,0.875
29,dond,SLED-BSU__Qwen3.5-27B-sft-ep1__prm-ep1-best_of_n,semi_en,instance_00015,Pareto Optimal,1.0
30,dond,SLED-BSU__Qwen3.5-27B-sft-ep1__prm-ep1-best_of_n,semi_en,instance_00001,Request Count,4.0
31,dond,SLED-BSU__Qwen3.5-27B-sft-ep1__prm-ep1-best_of_n,semi_en,instance_00001,Parsed Request Count,4.0
32,dond,SLED-BSU__Qwen3.5-27B-sft-ep1__prm-ep1-best_of_n,semi_en,instance_00001,Violated Request Count,0.0
33,dond,SLED-BSU__Qwen3.5-27B-sft-ep1__prm-ep1-best_of_n,semi_en,instance_00001,Request Success Ratio,1.0
34,dond,SLED-BSU__Qwen3.5-27B-sft-ep1__prm-ep1-best_of_n,semi_en,instance_00001,Aborted,0.0
35,dond,SLED-BSU__Qwen3.5-27B-sft-ep1__prm-ep1-best_of_n,semi_en,instance_00001,Lose,1.0
36,dond,SLED-BSU__Qwen3.5-27B-sft-ep1__prm-ep1-best_of_n,semi_en,instance_00001,Success,0.0
37,dond,SLED-BSU__Qwen3.5-27B-sft-ep1__prm-ep1-best_of_n,semi_en,instance_00001,Main Score,0.0
38,dond,SLED-BSU__Qwen3.5-27B-sft-ep1__prm-ep1-best_of_n,semi_en,instance_00001,Sum of Points,0.0
39,dond,SLED-BSU__Qwen3.5-27B-sft-ep1__prm-ep1-best_of_n,semi_en,instance_00001,Pareto Optimal,0.0
40,wordle,SLED-BSU__Qwen3.5-27B-sft-ep1__prm-ep1-best_of_n,medium_frequency_words_no_clue_no_critic,instance_00014,Aborted,0.0
41,wordle,SLED-BSU__Qwen3.5-27B-sft-ep1__prm-ep1-best_of_n,medium_frequency_words_no_clue_no_critic,instance_00014,Lose,0.0
42,wordle,SLED-BSU__Qwen3.5-27B-sft-ep1__prm-ep1-best_of_n,medium_frequency_words_no_clue_no_critic,instance_00014,Success,1.0
43,wordle,SLED-BSU__Qwen3.5-27B-sft-ep1__prm-ep1-best_of_n,medium_frequency_words_no_clue_no_critic,instance_00014,Request Count,4.0
44,wordle,SLED-BSU__Qwen3.5-27B-sft-ep1__prm-ep1-best_of_n,medium_frequency_words_no_clue_no_critic,instance_00014,Parsed Request Count,4.0
45,wordle,SLED-BSU__Qwen3.5-27B-sft-ep1__prm-ep1-best_of_n,medium_frequency_words_no_clue_no_critic,instance_00014,Violated Request Count,0.0
46,wordle,SLED-BSU__Qwen3.5-27B-sft-ep1__prm-ep1-best_of_n,medium_frequency_words_no_clue_no_critic,instance_00014,Request Success Ratio,1.0
