,game,model,experiment,episode,metric,value
0,mmlu_pro,Bentel rockers__qwen3.5-4b__Bentel_iter,mmlu_pro_engineering,instance_00863,Aborted,0.0
1,mmlu_pro,Bentel rockers__qwen3.5-4b__Bentel_iter,mmlu_pro_engineering,instance_00863,Lose,1.0
2,mmlu_pro,Bentel rockers__qwen3.5-4b__Bentel_iter,mmlu_pro_engineering,instance_00863,Success,0.0
3,mmlu_pro,Bentel rockers__qwen3.5-4b__Bentel_iter,mmlu_pro_engineering,instance_00863,Request Count,1.0
4,mmlu_pro,Bentel rockers__qwen3.5-4b__Bentel_iter,mmlu_pro_engineering,instance_00863,Parsed Request Count,1.0
5,mmlu_pro,Bentel rockers__qwen3.5-4b__Bentel_iter,mmlu_pro_engineering,instance_00863,Violated Request Count,0.0
6,mmlu_pro,Bentel rockers__qwen3.5-4b__Bentel_iter,mmlu_pro_engineering,instance_00863,Request Success Ratio,1.0
7,mmlu_pro,Bentel rockers__qwen3.5-4b__Bentel_iter,mmlu_pro_engineering,instance_00863,Main Score,0.0
8,bbh,Bentel rockers__qwen3.5-4b__Bentel_iter,logical_deduction_five_objects,instance_00024,Aborted,0.0
9,bbh,Bentel rockers__qwen3.5-4b__Bentel_iter,logical_deduction_five_objects,instance_00024,Lose,1.0
10,bbh,Bentel rockers__qwen3.5-4b__Bentel_iter,logical_deduction_five_objects,instance_00024,Success,0.0
11,bbh,Bentel rockers__qwen3.5-4b__Bentel_iter,logical_deduction_five_objects,instance_00024,Request Count,1.0
12,bbh,Bentel rockers__qwen3.5-4b__Bentel_iter,logical_deduction_five_objects,instance_00024,Parsed Request Count,1.0
13,bbh,Bentel rockers__qwen3.5-4b__Bentel_iter,logical_deduction_five_objects,instance_00024,Violated Request Count,0.0
14,bbh,Bentel rockers__qwen3.5-4b__Bentel_iter,logical_deduction_five_objects,instance_00024,Request Success Ratio,1.0
15,bbh,Bentel rockers__qwen3.5-4b__Bentel_iter,logical_deduction_five_objects,instance_00024,Main Score,0.0
16,ifeval,Bentel rockers__qwen3.5-4b__Bentel_iter,ifeval,instance_00144,Aborted,0.0
17,ifeval,Bentel rockers__qwen3.5-4b__Bentel_iter,ifeval,instance_00144,Lose,0.0
18,ifeval,Bentel rockers__qwen3.5-4b__Bentel_iter,ifeval,instance_00144,Success,1.0
19,ifeval,Bentel rockers__qwen3.5-4b__Bentel_iter,ifeval,instance_00144,Request Count,1.0
20,ifeval,Bentel rockers__qwen3.5-4b__Bentel_iter,ifeval,instance_00144,Parsed Request Count,1.0
21,ifeval,Bentel rockers__qwen3.5-4b__Bentel_iter,ifeval,instance_00144,Violated Request Count,0.0
22,ifeval,Bentel rockers__qwen3.5-4b__Bentel_iter,ifeval,instance_00144,Request Success Ratio,1.0
23,ifeval,Bentel rockers__qwen3.5-4b__Bentel_iter,ifeval,instance_00144,Main Score,100.0
24,ifeval,Bentel rockers__qwen3.5-4b__Bentel_iter,ifeval,instance_00535,Aborted,0.0
25,ifeval,Bentel rockers__qwen3.5-4b__Bentel_iter,ifeval,instance_00535,Lose,0.0
26,ifeval,Bentel rockers__qwen3.5-4b__Bentel_iter,ifeval,instance_00535,Success,1.0
27,ifeval,Bentel rockers__qwen3.5-4b__Bentel_iter,ifeval,instance_00535,Request Count,1.0
28,ifeval,Bentel rockers__qwen3.5-4b__Bentel_iter,ifeval,instance_00535,Parsed Request Count,1.0
29,ifeval,Bentel rockers__qwen3.5-4b__Bentel_iter,ifeval,instance_00535,Violated Request Count,0.0
30,ifeval,Bentel rockers__qwen3.5-4b__Bentel_iter,ifeval,instance_00535,Request Success Ratio,1.0
31,ifeval,Bentel rockers__qwen3.5-4b__Bentel_iter,ifeval,instance_00535,Main Score,100.0
32,ifeval,Bentel rockers__qwen3.5-4b__Bentel_iter,ifeval,instance_00104,Aborted,0.0
33,ifeval,Bentel rockers__qwen3.5-4b__Bentel_iter,ifeval,instance_00104,Lose,0.0
34,ifeval,Bentel rockers__qwen3.5-4b__Bentel_iter,ifeval,instance_00104,Success,1.0
35,ifeval,Bentel rockers__qwen3.5-4b__Bentel_iter,ifeval,instance_00104,Request Count,1.0
36,ifeval,Bentel rockers__qwen3.5-4b__Bentel_iter,ifeval,instance_00104,Parsed Request Count,1.0
37,ifeval,Bentel rockers__qwen3.5-4b__Bentel_iter,ifeval,instance_00104,Violated Request Count,0.0
38,ifeval,Bentel rockers__qwen3.5-4b__Bentel_iter,ifeval,instance_00104,Request Success Ratio,1.0
39,ifeval,Bentel rockers__qwen3.5-4b__Bentel_iter,ifeval,instance_00104,Main Score,100.0
40,ifeval,Bentel rockers__qwen3.5-4b__Bentel_iter,ifeval,instance_00153,Aborted,0.0
41,ifeval,Bentel rockers__qwen3.5-4b__Bentel_iter,ifeval,instance_00153,Lose,1.0
42,ifeval,Bentel rockers__qwen3.5-4b__Bentel_iter,ifeval,instance_00153,Success,0.0
43,ifeval,Bentel rockers__qwen3.5-4b__Bentel_iter,ifeval,instance_00153,Request Count,1.0
44,ifeval,Bentel rockers__qwen3.5-4b__Bentel_iter,ifeval,instance_00153,Parsed Request Count,1.0
45,ifeval,Bentel rockers__qwen3.5-4b__Bentel_iter,ifeval,instance_00153,Violated Request Count,0.0
46,ifeval,Bentel rockers__qwen3.5-4b__Bentel_iter,ifeval,instance_00153,Request Success Ratio,1.0
47,ifeval,Bentel rockers__qwen3.5-4b__Bentel_iter,ifeval,instance_00153,Main Score,0.0
48,ifeval,Bentel rockers__qwen3.5-4b__Bentel_iter,ifeval,instance_00054,Aborted,0.0
49,ifeval,Bentel rockers__qwen3.5-4b__Bentel_iter,ifeval,instance_00054,Lose,0.0
50,ifeval,Bentel rockers__qwen3.5-4b__Bentel_iter,ifeval,instance_00054,Success,1.0
51,ifeval,Bentel rockers__qwen3.5-4b__Bentel_iter,ifeval,instance_00054,Request Count,1.0
